product_id,product_name,total_stock,total_received,total_sold,total_stockout_days
125,DragonWear UM-52,3,1,1,0
133,DragonWear UR-04,758,157,147,39
136,DragonWear UR-07,321,94,87,34
141,DragonWear UR-12,48,22,22,14
143,DragonWear UR-14,92,47,46,21
144,DragonWear UR-15,247,93,86,24
150,DragonWear UR-21,228,67,65,28
155,DragonWear UR-26,43,24,23,17
160,DragonWear UR-31,82,22,21,9
163,DragonWear UR-34,1717,349,312,48
164,DragonWear UR-35,66,47,47,25
165,DragonWear UR-36,860,251,233,75
170,DragonWear UR-41,963,147,134,29
173,DragonWear UE-01,55,21,17,2
174,DragonWear UE-02,439,70,69,38
175,DragonWear UE-03,72,11,11,4
176,DragonWear UE-04,54,15,15,12
177,DragonWear UE-05,117,58,54,29
178,DragonWear UE-06,276,51,51,30
180,DragonWear UE-08,609,171,158,42
181,DragonWear UE-09,15,8,7,6
182,DragonWear UE-10,102,22,22,18
183,DragonWear UE-11,1399,583,504,88
185,DragonWear UE-13,5018,435,381,54
187,DragonWear UE-15,295,98,94,38
188,DragonWear UE-16,560,49,46,21
189,DragonWear UC-01,6,2,2,2
190,DragonWear UC-02,89,68,67,23
191,DragonWear UC-03,23,14,13,11
193,DragonWear UC-05,132,66,63,32
195,DragonWear UC-07,47,39,35,11
196,DragonWear UC-08,47,31,30,16
197,DragonWear YY-01,18,4,4,2
198,DragonWear YY-02,43,27,23,4
200,IndigoViet UM-02,1019,310,270,32
201,IndigoViet UM-03,631,378,325,73
202,IndigoViet UM-04,2848,716,610,35
204,IndigoViet UM-06,414,223,202,51
205,IndigoViet UM-07,3,1,1,2
206,IndigoViet UM-08,8072,1187,1000,44
207,IndigoViet UM-09,571,331,299,60
210,IndigoViet UM-12,3,1,1,2
223,LotusWear UM-01,84,21,21,12
224,LotusWear UM-02,311,85,83,46
225,LotusWear UM-03,189,36,36,25
226,LotusWear UM-04,15,5,5,4
227,LotusWear UM-05,234,73,73,47
228,LotusWear UM-06,108,22,22,22
229,LotusWear UR-01,580,162,150,56
230,LotusWear UR-02,12,4,4,4
231,LotusWear UR-03,45,12,12,3
233,LotusWear UR-05,18,9,9,2
234,LotusWear UR-06,9,3,3,3
235,LotusWear UR-07,53,31,29,11
236,LotusWear UR-08,308,159,141,42
237,LotusWear UR-09,666,184,168,34
238,LotusWear UR-10,630,140,135,53
239,LotusWear UR-11,947,199,179,26
240,LotusWear UR-12,2545,401,350,64
241,LotusWear UR-13,84,24,24,10
242,LotusWear UR-14,450,180,169,55
243,LotusWear UR-15,130,55,54,33
244,LotusWear UR-16,176,63,60,19
246,LotusWear UR-18,260,80,78,45
247,LotusWear UR-19,91,36,34,15
248,LotusWear UR-20,90,23,22,13
249,LotusWear UR-21,216,52,52,28
250,LotusWear UR-22,6,2,2,1
251,LotusWear UR-23,126,39,39,22
252,LotusWear UR-24,597,113,103,18
253,LotusWear UR-25,210,45,44,19
256,LotusWear UR-28,54,11,11,9
257,LotusWear UR-29,6,2,2,3
258,LotusWear UR-30,171,31,31,19
259,LotusWear UR-31,321,126,121,55
260,LotusWear UR-32,84,37,37,27
261,LotusWear UR-33,881,139,129,38
262,LotusWear UR-34,9,3,3,2
264,LotusWear UR-36,236,90,89,30
267,LotusWear UR-39,865,215,201,55
269,LotusWear UR-41,45,23,23,11
270,LotusWear UR-42,71,30,29,17
271,LotusWear UR-43,18,7,7,7
272,LotusWear UR-44,42,18,18,9
273,LotusWear UR-45,206,63,60,15
274,LotusWear UR-46,643,66,63,32
275,LotusWear UR-47,12,3,3,0
276,LotusWear UR-48,141,130,121,58
277,LotusWear UR-49,216,50,50,27
278,LotusWear UR-50,54,29,28,12
279,LotusWear UR-51,72,21,20,18
280,LotusWear UE-01,1778,178,161,30
281,LotusWear UE-02,35,29,28,14
282,LotusWear UE-03,122,28,25,7
289,LotusWear UE-10,24,5,5,6
291,LotusWear UE-12,30,10,10,6
292,LotusWear UE-13,253,63,57,7
294,LotusWear UE-15,60,19,19,11
295,LotusWear UE-16,476,170,155,28
296,LotusWear UE-17,6,2,2,4
297,LotusWear UE-18,42,24,24,12
299,LotusWear UE-20,202,95,92,42
300,LotusWear UE-21,62,13,12,5
304,LotusWear UE-25,99,47,47,29
305,LotusWear UE-26,183,57,54,25
306,LotusWear UE-27,459,75,74,42
307,LotusWear UE-28,187,38,35,8
308,LotusWear UE-29,68,41,36,18
310,LotusWear UE-31,3,1,1,1
311,LotusWear UE-32,107,84,82,38
312,LotusWear UE-33,9,3,3,2
313,LotusWear UE-34,63,12,12,4
318,LotusWear UE-39,21,7,7,6
319,LotusWear UE-40,3,1,1,1
321,LotusWear UE-42,714,142,138,46
322,LotusWear UE-43,1480,182,161,32
323,LotusWear UE-44,12,4,4,5
324,LotusWear UE-45,312,31,29,17
325,LotusWear UE-46,45,24,24,18
326,LotusWear UE-47,30,14,14,9
327,LotusWear UE-48,45,16,16,10
330,LotusWear UE-51,3,1,1,2
331,LotusWear UE-52,76,24,23,12
332,LotusWear UE-53,778,84,80,36
333,LotusWear UE-54,1440,338,290,42
334,LotusWear UE-55,354,37,34,12
335,LotusWear UE-56,238,110,103,35
336,LotusWear UE-57,64,46,40,24
338,LotusWear UE-59,216,41,37,8
339,LotusWear UE-60,36,9,9,2
341,LotusWear UE-62,9,4,4,3
342,LotusWear UE-63,2946,367,319,50
346,LotusWear UE-67,96,22,22,19
347,LotusWear UE-68,128,31,30,10
348,LotusWear UE-69,36,15,15,7
349,LotusWear UE-70,162,85,81,34
350,LotusWear UE-71,66,33,33,25
351,LotusWear UE-72,42,9,9,7
352,LotusWear UE-73,128,17,16,6
353,LotusWear UE-74,24,11,11,7
355,LotusWear UE-76,33,14,14,12
356,LotusWear UE-77,207,108,103,39
359,LotusWear UE-80,220,93,89,27
360,LotusWear UE-81,30,7,7,6
361,LotusWear UE-82,51,23,23,17
362,LotusWear UE-83,917,310,275,27
364,LotusWear UE-85,12,4,4,4
366,LotusWear UE-87,70,41,40,18
369,LotusWear UE-90,72,32,31,22
370,LotusWear UE-91,3,1,1,1
371,LotusWear UE-92,330,67,65,20
372,LotusWear UE-93,48,19,18,1
373,LotusWear UE-94,27,10,10,9
375,LotusWear UE-96,137,66,64,38
379,LotusWear UE-00,66,18,18,11
382,LotusWear UE-03,126,28,28,11
383,LotusWear UE-04,1392,114,104,34
384,LotusWear UE-05,144,26,26,17
385,LotusWear UE-06,453,64,59,28
386,LotusWear UE-07,36,6,6,3
387,LotusWear UC-01,30,9,9,8
388,LotusWear UC-02,468,131,114,17
389,LotusWear UC-03,232,84,77,24
390,LotusWear UC-04,44,17,15,12
392,SaigonFlex RP-01,24,6,6,7
393,SaigonFlex RP-02,24,6,6,7
394,SaigonFlex RS-01,126,39,39,23
395,SaigonFlex RS-02,7,9,8,4
396,SaigonFlex UM-01,49107,6020,5041,59
398,SaigonFlex UM-03,36,54,47,25
400,SaigonFlex UM-05,25832,2119,1823,102
401,SaigonFlex UM-06,285,77,71,23
402,SaigonFlex UM-07,707,439,373,49
403,SaigonFlex UM-08,191,91,83,16
404,SaigonFlex UM-09,699,207,179,17
405,SaigonFlex UM-10,2542,360,314,24
406,SaigonFlex UM-11,133,60,55,15
407,SaigonFlex UM-12,8607,2507,2122,100
408,SaigonFlex UM-13,144,98,82,5
409,SaigonFlex UM-14,7258,2361,1989,76
410,SaigonFlex UM-15,1606,356,305,21
412,SaigonFlex UM-17,1508,324,276,20
413,SaigonFlex UM-18,6,2,2,1
414,SaigonFlex UM-19,236,95,88,30
415,SaigonFlex UM-20,10057,885,765,77
416,SaigonFlex UM-21,33,12,12,15
417,SaigonFlex UM-22,39,28,27,10
418,SaigonFlex UM-23,5600,1112,950,55
419,SaigonFlex UM-24,539,126,113,16
420,SaigonFlex UM-25,1779,596,507,51
421,SaigonFlex UM-26,33,52,43,26
422,SaigonFlex UM-27,5946,1471,1244,58
423,SaigonFlex UM-28,569,246,218,45
424,SaigonFlex UM-29,1638,270,233,20
425,SaigonFlex UM-30,744,313,263,46
426,SaigonFlex UM-31,8440,1788,1504,104
427,SaigonFlex UM-32,971,114,103,35
428,SaigonFlex UM-33,1246,631,534,15
429,SaigonFlex UM-34,1102,258,222,19
430,SaigonFlex UM-35,386,122,120,48
431,SaigonFlex UM-36,1000,487,416,18
432,SaigonFlex UM-37,13010,2620,2217,82
433,SaigonFlex UM-38,32392,3738,3163,104
435,SaigonFlex UM-40,2218,358,298,20
436,SaigonFlex UM-41,967,143,123,15
437,SaigonFlex UM-42,828,370,320,60
438,SaigonFlex UM-43,76669,10865,9124,174
440,SaigonFlex UM-45,2016,262,229,11
442,SaigonFlex UM-47,54,22,22,19
443,SaigonFlex UM-48,51349,4214,3541,117
444,SaigonFlex UM-49,59,24,21,1
445,SaigonFlex UM-50,27408,3171,2664,55
447,SaigonFlex UM-52,1700,639,542,85
449,SaigonFlex UM-54,17929,5592,4684,31
450,SaigonFlex UM-55,421,299,256,34
451,SaigonFlex UM-56,2310,1331,1131,46
452,SaigonFlex UM-57,41,32,28,4
455,SaigonFlex UM-60,523,158,138,20
456,SaigonFlex UM-61,5193,650,551,18
457,SaigonFlex UM-62,6562,816,687,41
458,SaigonFlex UM-63,114,32,29,5
459,SaigonFlex UM-64,400,175,153,30
460,SaigonFlex UM-65,3795,525,449,37
461,SaigonFlex UM-66,2449,1148,982,12
462,SaigonFlex UM-67,115,28,26,4
464,SaigonFlex UM-69,871,215,191,16
466,SaigonFlex UM-71,45,27,27,21
467,SaigonFlex UM-72,15140,2292,1923,35
470,SaigonFlex UM-75,2370,1367,1144,72
471,SaigonFlex UM-76,1091,619,522,29
472,SaigonFlex UM-77,2529,1112,933,77
473,SaigonFlex UM-78,154,101,90,42
475,SaigonFlex UM-80,55785,7639,6434,52
476,SaigonFlex UM-81,496,290,249,40
478,SaigonFlex UM-83,1200,213,189,26
479,SaigonFlex UM-84,352,140,124,32
481,SaigonFlex UM-86,224,57,55,24
482,SaigonFlex UM-87,84,20,20,14
483,SaigonFlex UM-88,41,24,21,5
484,SaigonFlex UM-89,200,22,21,4
485,SaigonFlex UM-90,102,14,13,5
486,SaigonFlex UM-91,281,178,157,39
487,SaigonFlex UM-92,98415,11445,9623,82
488,SaigonFlex UM-93,7098,956,809,47
489,SaigonFlex UM-94,5913,958,831,121
490,SaigonFlex UM-95,1819,479,421,44
491,SaigonFlex UM-96,76830,8404,7048,155
492,SaigonFlex UM-97,223,116,113,65
493,SaigonFlex UM-98,1475,762,653,66
494,SaigonFlex UM-99,285,208,181,40
495,SaigonFlex UM-00,10777,1292,1098,59
496,SaigonFlex UM-01,39830,4437,3716,81
497,SaigonFlex UM-02,509,299,259,76
498,SaigonFlex UM-03,2271,413,350,18
499,SaigonFlex UM-04,22098,3044,2547,67
500,SaigonFlex UM-05,784,169,151,29
501,SaigonFlex UM-06,3050,481,425,76
502,SaigonFlex UM-07,2219,1000,855,57
503,SaigonFlex UM-08,715,357,308,79
504,SaigonFlex UM-09,677,213,182,34
505,SaigonFlex UM-10,61,70,63,18
506,SaigonFlex UM-11,27258,5017,4132,42
508,SaigonFlex UM-13,567,363,308,69
510,SaigonFlex UM-15,12671,2014,1720,71
511,SaigonFlex UM-16,336,75,63,5
512,SaigonFlex UR-01,20116,1261,1106,98
513,SaigonFlex UE-01,117,20,20,18
514,SaigonFlex UE-02,269,27,24,11
515,SaigonFlex UE-03,718,166,158,51
516,SaigonFlex UE-04,4321,663,584,106
517,SaigonFlex UE-05,182,110,102,39
518,SaigonFlex UE-06,614,105,98,36
519,SaigonFlex UE-07,3,1,1,1
520,SaigonFlex UE-08,255,145,128,66
521,SaigonFlex UE-09,3,1,1,1
523,SaigonFlex UE-11,1564,184,173,67
524,SaigonFlex UE-12,9,3,3,3
525,SaigonFlex UE-13,773,146,135,31
527,SaigonFlex UE-15,24,8,8,8
528,SaigonFlex UE-16,2154,344,312,56
529,SaigonFlex UE-17,1296,258,242,71
530,SaigonFlex UE-18,21,8,8,7
531,SaigonFlex UE-19,1825,395,340,41
532,SaigonFlex UE-20,711,60,58,34
533,SaigonFlex UE-21,3503,367,328,77
534,SaigonFlex UE-22,929,226,214,77
535,SaigonFlex UE-23,132,34,34,23
536,SaigonFlex UC-01,103,32,29,6
537,SaigonFlex UC-02,345,114,101,18
538,SaigonFlex UC-03,60,19,19,8
539,SaigonFlex UC-04,1068,245,211,17
540,SaigonFlex UC-05,818,110,97,17
541,SaigonFlex UC-06,222,85,78,35
542,SaigonFlex UC-07,335,100,93,32
544,SaigonFlex UC-09,434,174,155,33
545,SaigonFlex UC-10,4316,804,689,45
546,SaigonFlex UC-11,1023,214,192,33
547,SaigonFlex UC-12,253,160,142,44
548,SaigonFlex UC-13,41577,3803,3204,74
549,SaigonFlex UC-14,4434,1345,1131,62
550,SaigonFlex UC-15,4868,593,514,30
551,SaigonFlex UC-16,24485,4738,4048,69
552,SaigonFlex UC-17,6,2,2,0
553,SaigonFlex UC-18,641,197,174,32
554,SaigonFlex UC-19,198,55,55,37
555,SaigonFlex UC-20,1448,380,326,15
556,SaigonFlex UC-21,6626,1079,919,31
557,SaigonFlex UC-22,3166,362,311,28
559,SaigonFlex UC-24,44926,3347,2843,117
562,SaigonFlex UC-27,506,203,178,35
563,SaigonFlex UC-28,856,602,513,81
564,SaigonFlex UC-29,3,1,1,0
565,SaigonFlex UC-30,12727,1016,869,66
566,SaigonFlex UC-31,4553,613,517,21
567,SaigonFlex UC-32,9047,1390,1189,101
568,SaigonFlex UC-33,1756,290,262,46
569,SaigonFlex UC-34,236,71,66,21
570,SaigonFlex UC-35,870,231,200,25
571,SaigonFlex UC-36,3868,832,727,33
572,SaigonFlex UC-37,11440,1660,1407,93
573,SaigonFlex UC-38,6588,868,744,30
574,SaigonFlex UC-39,9229,592,515,55
575,SaigonFlex UC-40,3044,777,652,29
576,SaigonFlex UC-41,284,116,102,14
577,SaigonFlex UC-42,10589,1219,1035,37
578,SaigonFlex UC-43,16344,2277,1911,68
579,SaigonFlex UC-44,890,151,138,28
580,SaigonFlex UC-45,18879,2165,1869,101
581,SaigonFlex UC-46,937,224,196,22
583,SaigonFlex UC-48,396,157,138,20
585,SaigonFlex UC-50,8976,2107,1775,100
586,SaigonFlex UC-51,4095,943,794,22
588,SaigonFlex UC-53,185,81,77,26
589,SaigonFlex UC-54,1698,681,581,16
590,SaigonFlex UC-55,6603,1154,984,137
591,SaigonFlex UC-56,3386,577,493,40
592,SaigonFlex UC-57,909,236,205,16
593,SaigonFlex UC-58,1162,251,221,34
595,SaigonFlex UC-60,2713,719,606,84
596,SaigonFlex UC-61,51193,2861,2425,116
599,SaigonFlex UC-64,14481,2249,1906,124
600,SaigonFlex UC-65,15885,2324,1931,56
601,SaigonFlex UC-66,396,239,206,49
602,SaigonFlex UC-67,164,118,107,41
603,SaigonFlex UC-68,368,108,99,14
604,SaigonFlex UC-69,208932,12528,10506,132
605,SaigonFlex UC-70,28698,3037,2604,95
606,SaigonFlex UC-71,6815,986,843,22
607,SaigonFlex UC-72,6,2,2,2
608,SaigonFlex UC-73,175,72,66,16
609,SaigonFlex UC-74,83514,5267,4465,136
610,SaigonFlex UC-75,65,37,35,17
611,SaigonFlex UC-76,1812,327,272,24
612,SaigonFlex UC-77,120,87,77,27
614,SaigonFlex UC-79,187,53,46,6
615,SaigonFlex UC-80,24126,3038,2563,87
617,SaigonFlex UC-82,1053,483,414,90
618,SaigonFlex UC-83,287,30,28,11
619,SaigonFlex UC-84,6,2,2,2
622,SaigonFlex UC-87,7864,1525,1301,52
623,SaigonFlex UC-88,1119,253,222,28
625,SaigonFlex UC-90,127,82,75,34
626,SaigonFlex UC-91,1055,189,167,20
627,SaigonFlex UC-92,66,38,35,18
628,SaigonFlex UC-93,90,15,15,14
629,SaigonFlex UC-94,27,9,9,11
630,SaigonFlex UC-95,406,169,147,38
631,SaigonFlex UC-96,10969,1508,1251,49
632,SaigonFlex UC-97,1593,452,376,17
633,SaigonFlex UC-98,2370,334,292,33
634,SaigonFlex UC-99,728,369,311,81
635,SaigonFlex UC-00,53931,5112,4284,58
636,SaigonFlex UC-01,27161,3613,3060,143
637,SaigonFlex UC-02,2080,319,283,44
638,SaigonFlex UC-03,872,321,270,12
639,SaigonFlex UC-04,1744,221,192,26
640,SaigonFlex UC-05,539,324,274,41
641,SaigonFlex UC-06,10292,2058,1748,53
642,SaigonFlex UC-07,2903,645,537,24
643,SaigonFlex UC-08,12,3,3,3
644,SaigonFlex UC-09,12319,2298,1906,84
645,SaigonFlex UC-10,1408,199,180,39
646,SaigonFlex UC-11,192,92,82,26
647,SaigonFlex UC-12,21042,2116,1783,66
648,SaigonFlex UC-13,3603,580,500,45
649,SaigonFlex UC-14,108,80,72,27
650,SaigonFlex UC-15,25086,2806,2340,168
651,SaigonFlex UC-16,1387,454,382,7
652,SaigonFlex UC-17,283,82,76,19
653,SaigonFlex UC-18,831,543,461,85
654,SaigonFlex UC-19,41,25,23,4
655,SaigonFlex UC-20,529,171,149,29
656,SaigonFlex UC-21,1659,460,384,19
657,SaigonFlex UC-22,9638,2876,2446,104
658,SaigonFlex UC-23,543,130,115,15
659,SaigonFlex UC-24,2506,339,296,35
660,SaigonFlex UC-25,4007,1364,1133,109
662,SaigonFlex UC-27,626,155,134,21
663,SaigonFlex UC-28,3,1,1,2
666,SaigonFlex UC-31,520,168,144,20
667,SaigonFlex UC-32,480,145,126,18
668,SaigonFlex UC-33,27,50,42,27
669,SaigonFlex UC-34,872,372,318,87
670,SaigonFlex UC-35,3382,808,705,71
671,SaigonFlex UC-36,19225,1274,1064,31
672,SaigonFlex UC-37,39,22,22,13
674,SaigonFlex UC-39,32577,3986,3354,108
675,SaigonFlex UC-40,5000,1242,1066,49
676,SaigonFlex UC-41,68819,3564,3007,113
681,SaigonFlex UC-46,27942,2346,1953,83
682,SaigonFlex UC-47,1833,308,264,21
683,SaigonFlex UC-48,1645,382,339,40
684,SaigonFlex UC-49,4473,697,597,50
685,SaigonFlex UC-50,2407,339,307,68
686,SaigonFlex UC-51,3171,435,376,55
687,SaigonFlex UC-52,563,162,144,23
688,SaigonFlex UC-53,1019,312,264,11
689,SaigonFlex UC-54,21460,2970,2477,80
690,SaigonFlex UC-55,38292,4224,3578,149
691,SaigonFlex UC-56,7340,600,526,55
692,SaigonFlex UC-57,3,1,1,0
699,HanoiStreet MA-06,5354,724,633,40
702,HanoiStreet MA-09,28741,2071,1784,125
706,HanoiStreet MA-13,375,165,149,47
711,HanoiStreet MA-18,595,179,152,7
713,HanoiStreet RP-01,1499,93,88,20
714,HanoiStreet RP-02,1556,95,88,31
715,HanoiStreet RP-03,15828,1009,872,71
716,HanoiStreet RP-04,16668,1024,872,70
717,HanoiStreet RP-05,687,137,125,36
718,HanoiStreet RP-06,647,136,125,33
719,HanoiStreet RP-07,62,145,116,40
720,HanoiStreet RP-08,59,143,116,41
725,HanoiStreet RP-13,38550,3545,2950,43
726,HanoiStreet RP-14,34757,3442,2950,43
727,HanoiStreet RP-15,6,2,2,3
728,HanoiStreet RP-16,6,2,2,2
729,HanoiStreet RP-17,11829,888,762,59
730,HanoiStreet RP-18,11622,881,762,59
733,HanoiStreet RP-21,111289,7866,6631,130
734,HanoiStreet RP-22,115451,7922,6631,135
735,HanoiStreet RP-23,57943,2915,2456,91
736,HanoiStreet RP-24,58725,2920,2456,101
739,HanoiStreet RP-27,3877,160,141,22
740,HanoiStreet RP-28,3725,155,141,29
743,HanoiStreet RP-31,9,3,3,2
744,HanoiStreet RP-32,9,3,3,2
745,HanoiStreet RP-33,9060,623,533,53
746,HanoiStreet RP-34,8671,615,533,41
753,HanoiStreet RP-41,6734,659,570,61
754,HanoiStreet RP-42,7160,668,570,54
757,HanoiStreet RP-45,29398,3197,2649,38
758,HanoiStreet RP-46,28907,3178,2649,48
759,HanoiStreet RP-47,115247,7317,6154,117
760,HanoiStreet RP-48,117864,7344,6154,132
761,HanoiStreet RP-49,108405,6612,5554,123
762,HanoiStreet RP-50,111088,6637,5554,119
763,HanoiStreet RP-51,57630,4662,3932,169
764,HanoiStreet RP-52,53121,4613,3932,185
767,HanoiStreet RP-55,21683,2314,1941,38
768,HanoiStreet RP-56,21769,2315,1941,40
769,HanoiStreet RP-57,14469,836,736,95
770,HanoiStreet RP-58,14342,837,736,100
771,HanoiStreet RP-59,18,6,6,7
772,HanoiStreet RP-60,18,6,6,7
777,HanoiStreet RP-65,57014,4979,4208,159
778,HanoiStreet RP-66,61625,5025,4208,160
779,HanoiStreet RP-67,59408,3137,2680,108
780,HanoiStreet RP-68,60949,3147,2680,105
781,HanoiStreet RP-69,55932,4807,4073,168
782,HanoiStreet RP-70,54346,4788,4073,158
785,HanoiStreet RP-73,49836,5178,4388,40
786,HanoiStreet RP-74,53908,5294,4388,51
787,HanoiStreet RP-75,7301,660,587,86
788,HanoiStreet RP-76,7614,662,587,84
789,HanoiStreet RP-77,4372,549,472,53
790,HanoiStreet RP-78,4584,555,472,40
791,HanoiStreet RP-79,212593,15780,13149,177
792,HanoiStreet RP-80,210741,15724,13149,156
793,HanoiStreet RP-81,85948,7060,5963,130
794,HanoiStreet RP-82,89123,7096,5963,143
795,HanoiStreet RP-83,7551,723,630,44
796,HanoiStreet RP-84,7980,735,630,53
797,HanoiStreet RS-01,11905,1207,1022,89
800,HanoiStreet RS-04,3074,531,458,93
801,HanoiStreet RS-05,15,7,7,7
802,HanoiStreet RS-06,447,38,36,13
803,HanoiStreet RS-07,2196,510,451,92
804,HanoiStreet RS-08,10437,969,842,65
805,HanoiStreet RS-09,258,67,66,35
806,HanoiStreet RS-10,32,12,10,1
807,HanoiStreet RS-11,4111,529,461,65
808,HanoiStreet RS-12,31198,2971,2538,89
809,HanoiStreet RS-13,13155,926,810,65
811,HanoiStreet RS-15,15,5,5,3
812,HanoiStreet RS-16,3,1,1,1
813,HanoiStreet RS-17,150,32,32,28
816,HanoiStreet RS-20,13338,1933,1626,123
819,HanoiStreet UM-03,33013,2779,2383,121
822,HanoiStreet UM-06,210,158,133,24
823,HanoiStreet UM-07,54,11,11,6
826,HanoiStreet UM-10,170769,9885,8315,110
827,HanoiStreet UM-11,24,14,14,9
828,HanoiStreet UM-12,490,181,166,73
835,HanoiStreet UM-19,311,134,125,47
837,HanoiStreet UM-21,108,16,16,8
838,HanoiStreet UM-22,9,3,3,4
839,HanoiStreet UM-23,3947,443,402,85
842,HanoiStreet UM-26,12,3,3,0
843,HanoiStreet UM-27,6,2,2,3
846,HanoiStreet UM-30,120,32,32,20
847,HanoiStreet UM-31,3,1,1,1
852,HanoiStreet UM-36,15,5,5,4
853,HanoiStreet UM-37,6,2,2,3
854,HanoiStreet UM-38,10798,950,832,113
862,HanoiStreet UR-08,4635,567,509,105
863,HanoiStreet UR-09,310,100,90,37
881,HanoiStreet UR-27,3,1,1,0
882,HanoiStreet UR-28,755,108,101,28
895,HanoiStreet UE-04,7595,558,498,65
896,HanoiStreet UE-05,63,33,33,21
897,HanoiStreet UE-06,216,35,35,23
899,HanoiStreet UE-08,182,83,76,26
901,HanoiStreet UE-10,3,1,1,0
905,HanoiStreet UE-14,582,201,195,76
906,HanoiStreet UE-15,8347,791,701,87
907,HanoiStreet UE-16,75445,7012,5869,191
908,HanoiStreet UE-17,2224,1189,1007,59
909,HanoiStreet UE-18,300,143,127,19
910,HanoiStreet UE-19,43528,2146,1846,77
913,HanoiStreet UE-22,1239,274,251,63
914,HanoiStreet UE-23,1094,161,147,37
915,HanoiStreet UE-24,15563,1415,1183,44
916,HanoiStreet UE-25,496,94,89,26
921,HanoiStreet UE-30,153,27,27,18
922,HanoiStreet UE-31,1896,249,225,49
926,HanoiStreet UE-35,350,111,103,38
927,HanoiStreet UE-36,151245,10674,9002,120
930,HanoiStreet UE-39,5996,764,678,112
933,HanoiStreet UE-42,240,23,23,12
935,HanoiStreet UE-44,3,1,1,1
936,HanoiStreet UE-45,2183,138,128,33
937,HanoiStreet UE-46,252,34,34,11
939,HanoiStreet UC-02,22678,2867,2416,185
940,HanoiStreet UC-03,1533,299,265,30
942,HanoiStreet UC-05,496,166,152,26
943,HanoiStreet UC-06,18,7,7,3
945,HanoiStreet UC-08,5183,1164,989,89
946,HanoiStreet UC-09,4024,747,638,47
947,HanoiStreet UC-10,1307,275,252,63
948,HanoiStreet UC-11,544,173,161,57
949,HanoiStreet UC-12,328,64,63,32
950,HanoiStreet UC-13,93,50,50,28
952,HanoiStreet UC-15,4508,658,577,71
954,HanoiStreet UC-17,9298,1229,1031,51
955,HanoiStreet UC-18,934,256,235,70
956,HanoiStreet UC-19,550,183,175,72
957,HanoiStreet UC-20,425,136,128,68
958,HanoiStreet UC-21,188,99,96,49
959,HanoiStreet UC-22,450,202,183,74
962,HanoiStreet UC-25,78,22,22,15
